multifocal_retinopathy	multifocal retinopathy
3-alpha-methyl-digitoxigenin_glucoside	3-alpha-methyl-digitoxigenin glucoside
chalcone	chalcone
recoverin	recoverin
AEX-3	AEX-3
closed_head_injury	closed head injury
ClC-1	ClC-1
dyslipidemia	dyslipidemia
cysticercosis	cysticercosis
CDDO-Me	CDDO-Me
2-deoxy-D-glucose-6-phosphate	2-deoxy-D-glucose-6-phosphate
HFA-BDP	HFA-BDP
ITE	ITE
TGF-b3	TGF-b3
Pancreatic_neoplasms	Pancreatic neoplasms
DEK	DEK
imide	imide
Acox1	Acox1
TCP20	TCP20
succinate	succinate
kin	kin
glycol	glycol
UNCL	UNCL
MEA	MEA
NPS2390	NPS2390
p58	p58
ELL2	ELL2
M-1	M-1
PDPH	PDPH
Hsd11b1	Hsd11b1
PAC3	PAC3
GW395058	GW395058
AADAT	AADAT
PC6	PC6
Shmt1	Shmt1
CO2	CO2
anthranilic_acid	anthranilic acid
Vif	Vif
HFE	HFE
CXCL12	CXCL12
LRP6	LRP6
carbetocin	carbetocin
Sp1	Sp1
lipocalin	lipocalin
hypophosphatemia	hypophosphatemia
Atypical_chronic_myeloid_leukemia	Atypical chronic myeloid leukemia
garcinol	garcinol
RAET1E	RAET1E
IRAP	IRAP
LECT2	LECT2
endocardial_fibroelastosis	endocardial fibroelastosis
CNU	CNU
Slc52a2	Slc52a2
ara-CTP	ara-CTP
IGHV	IGHV
spermatogenic_failure	spermatogenic failure
MEF-2	MEF-2
MK-STYX	MK-STYX
DHPR	DHPR
ABCB10	ABCB10
blue_diaper_syndrome	blue diaper syndrome
Pokemon	Pokemon
Infantile_Refsum_disease	Infantile Refsum disease
H2O2	H2O2
TG4010	TG4010
skin_lesions	skin lesions
KCNH5	KCNH5
ITGA7	ITGA7
sphingomyelin	sphingomyelin
infectious_bovine_keratoconjunctivitis	infectious bovine keratoconjunctivitis
nalbuphine	nalbuphine
MMMT	MMMT
Smad3	Smad3
PBDEs	PBDEs
CRS1C	CRS1C
CHO_elongation	CHO elongation
CASC9	CASC9
EBA	EBA
Naip2	Naip2
miR-181c	miR-181c
rds	rds
DCNP1	DCNP1
TSPAN2	TSPAN2
GDF3	GDF3
Antihistamines	Antihistamines
Arr4	Arr4
bunazosin	bunazosin
quazinone	quazinone
midodrine	midodrine
thyroid_hormone	thyroid hormone
hydroxyzine	hydroxyzine
Cyp4f39	Cyp4f39
miR-92	miR-92
DNA_polymerase_alpha	DNA polymerase alpha
obstructive_jaundice	obstructive jaundice
ANXA11	ANXA11
AAO	AAO
FTS	FTS
WIN_55,212-2	WIN 55,212-2
Reg3g	Reg3g
Ena/VASP	Ena/VASP
SNX27	SNX27
Nck2	Nck2
GBP5	GBP5
perfluorooctanoic_acid	perfluorooctanoic acid
ADTRP	ADTRP
Cela1	Cela1
AtPPT1	AtPPT1
whooping_cough	whooping cough
VEGF-C	VEGF-C
PPMP	PPMP
tendinopathy	tendinopathy
PATZ1	PATZ1
LDAO	LDAO
CCL25	CCL25
MK571	MK571
EXPH5	EXPH5
pellagra	pellagra
SMARCB1	SMARCB1
THIO	THIO
CYP3A94	CYP3A94
retinoic_acid_induced_protein_14	retinoic acid induced protein 14
ELFN2	ELFN2
NEUROG1	NEUROG1
HCP4	HCP4
COL4A3	COL4A3
CHOROIDEREMIA	CHOROIDEREMIA
epidermolysis_bullosa_simplex_with_muscular_dystrophy	epidermolysis bullosa simplex with muscular dystrophy
gamma-catenin	gamma-catenin
beta-HSD_deficiency	beta-HSD deficiency
NFAT1	NFAT1
fructose_2,6-bisphosphate	fructose 2,6-bisphosphate
zearalenone	zearalenone
Cxv-1	Cxv-1
subependymomas	subependymomas
SLC6A8	SLC6A8
schwannomatosis	schwannomatosis
CoA	CoA
factor_XII	factor XII
sphingosine	sphingosine
Gcgr	Gcgr
p66	p66
RanBP6	RanBP6
coronary_heart_disease	coronary heart disease
venous_thrombosis	venous thrombosis
ALD6	ALD6
pentamidine	pentamidine
IRT1	IRT1
gp210	gp210
vesicular_stomatitis	vesicular stomatitis
GDF11	GDF11
ectodermal_dysplasia	ectodermal dysplasia
PPT1	PPT1
verrucous_epidermal_nevus	verrucous epidermal nevus
Jalili_syndrome	Jalili syndrome
PREX2	PREX2
PRP2	PRP2
sex	sex
ALDH	ALDH
T1135	T1135
attenuated_polyposis	attenuated polyposis
