cortisone	alleviates	malaria
TGF-beta	enhances	p130
SCIO-469	inhibits	p38
PDGFRa	drug_target	rhabdomyosarcoma
PHF8	increases_expression	KDM3A
MEF2D	diagnostic_biomarker	NPC
CEACAM1	causal_mutation	lung_cancer
Runx1	activates	Runx3
CypD	signals	AhR
oxygen	binds	PDGFRA
MIP-1a	enhances	CCR1
FPPS	activates	FOXM1
GAP-43	overexpression	HIV-infected
TIP30	increases_expression	E-cadherin
JWA	role_in_disease_pathogenesis	diabetes
S1P	causal_mutation	lyase_deficiency
NDRG2	role_in_disease_pathogenesis	glioma
aminophylline	treatment	weight_loss
ULK2	activates	GTSE1
MDR1	drug_target	pneumonia
GATA2	mutations_affecting_disease	opportunistic_infections
angiotensin_II	increases_expression	PRMT2
SMTNL1	same_complex	smoothelin
DAX-1	enhances	SF-1
SRPK1	enhances	SAFB1/2
dimethylformamide	side_effect	poisoning
nucleosides	side_effect	tumor
toosendanin	increases_expression	ERb
vitamin_D3	transport,	GC
dibutyryl_cAMP	increases_expression	tyrosinase
nm23-H1	regulates	cathepsin_D
MCT1	promotes_progression	thyroid_cancer
DBH-AS1	diagnostic_biomarker	retinal_pigment_epithelium
pegaptanib	activates	VEGF
Sult1a1	activates	RITA
phosphatidylinositol	transport,	Myo1c
RAD23B	affects_expression	FEN1
CORT	role_in_disease_pathogenesis	calcification
pipobroman	treatment	ET
beta-elemene	treatment	encephalomyelitis
IL-2	affects_expression	PRKAR2B
CD73	activates	CD151
digitoxin	inhibits_cell_growth	cystic_fibrosis
GDF15	improper_regulation	lung_cancer
PLVAP	binds	p54
nitroblue_tetrazolium	metabolism	CD18
TCF7L2	activates	HT1080
artocarpin	inhibits_cell_growth	colorectal_cancer
serine	role_in_disease_pathogenesis	XPC
farnesyl_diphosphate	activates	DPR1
okadaic_acid	inhibits_cell_growth	multiple_myeloma
Cdc25C	regulates	TCTP
vincristine	side_effect	fibrosarcoma
CSN3	overexpression	hyperplasia
AXIN2	increases_expression	Shh
verapamil	side_effect	multiple_myeloma
SSRP1	role_in_disease_pathogenesis	HIV-infected
AURKA	enhances	SHIP2
miR-656	affects_expression	BMP-2
Mal	transport,	AARE
DHFR	mutations_affecting_disease	malaria
MOG	diagnostic_biomarker	encephalomyelitis
mucopolysaccharide	enzyme_activity	sulfatase
GCAP	diagnostic_biomarker	tumor
factor_V_Leiden	binds	factor_V_Leiden
ESRP1	role_in_disease_pathogenesis	PSC
ICAM-1	mutations_affecting_disease	glioma
somatostatin	transport,	SSTR1
FBXW7	binds	AEG-1
TET2	mutations_affecting_disease	diabetes
TG2	promotes_progression	endotoxemia
thiol	side_effect	hearing_loss
CpG-ODN	affects_expression	IgG2a
glutamic_acid	increases_expression	thrombin
NCX1	binds	NCX2
CK3	production	K15
myosin_Va	same_complex	myosin_Va
miR-7-5p	signals	p65
MyD88	regulates	TRIF
licochalcone_A	alleviates	necrosis
MTA3	regulates	E-cadherin
Foxp3	promotes_progression	glioblastoma
mTORC2	same_complex	mSin1
ZNF703	binds	SPRY4-IT1
curcumin	inhibits_cell_growth	hyperlipidemia
TDO	activates	Hoxa10
ShcD	binds	PTB
VIP	increases_expression	IL-22
CapZ	affects_expression	PP1alpha
Aroclor_1260	binds	Nrf2
fluticasone_propionate	affects_expression	IL-6
aldehydes	increases_expression	CO2
nortriptyline	treatment	internal_standard
hydrogen_sulfide	alleviates	ASM
acetamiprid	activates	L-1
guanethidine	affects_expression	NGF
L1CAM	regulates	Slug
salidroside	transport,	HMGB1
tofacitinib	alleviates	pain
TIMP-1	promotes_progression	carcinoma
TIM-4	promotes_progression	APCs
bexarotene	increases_expression	ABCA1
p53	production	SCC
ristocetin	enzyme_activity	FVIII
Gbp1	role_in_disease_pathogenesis	mitochondrial_dysfunction
TNFR_p55	treatment	arthritis
guanine_nucleotide	transport,	GRPR
ER	binds	let-7c
scutellarein	progression_biomarker	diabetes
TCP1	same_complex	tricellulin
M-CSF	enhances	Vav
TFE3	promotes_progression	tumor
Abca4	increases_expression	Rdh8
somatostatin	metabolism	UII
ACE	drug_target	allergy
FTH1P3	activates	P-gp
PAM	improper_regulation	gestational_trophoblastic_neoplasia
cyanide	side_effect	cystic_fibrosis
afadin	enhances	Rap1
domperidone	role_in_disease_pathogenesis	PONV
ABH	affects_expression	IAP
CYP2C11	regulates	STAT5b
ammonium_acetate	inhibits	tyrosinase
PMA	increases_expression	LIF
DNMT1	activates	NEIL1
SIX1	activates	SIX3
alliin	inhibits_cell_growth	metabolic_syndrome
lidocaine	suppresses	endophthalmitis
ivermectin	alleviates	proteinuria
cocaine	inhibits_cell_growth	glioma
SDHD	activates	SDHAF2
meclizine	treatment	infancy
p70	same_complex	KIR
P14	diagnostic_biomarker	liver_cirrhosis
pomalidomide	inhibits_cell_growth	tumor
miR-148a	production	miR-26a
HCC	side_effect	liver_injury
apoE	activates	CXCL16
leucine	transport,	CD98
isobavachalcone	increases_expression	TNF-a
DDT	activates	GSTT2B
KLK6	binds	alpha-synuclein
potassium	affects_expression	LMNA
S100P	enhances	XIAP
pyrin	diagnostic_biomarker	bleeding
PDGFRA	regulates	S100A4
NF-kappaB	activates	JNK2
GnRHR	promotes_progression	glioblastoma
miR-203	promotes_progression	metastasis
PP2	suppresses	myocardium
miR-99b	regulates	miR-125a
vorinostat	suppresses	multiple_myeloma
IL-6	polymorphisms_alter_risk	ACS
SC1	overexpression	ischemic_stroke
NLRP3	regulates	IRE1a
HAPLN1	increases_expression	SOX9
chrysoeriol	activates	CYP1A1
RPLP0	activates	GPC3
neurotensin	diagnostic_biomarker	autism
PPD	decreases_expression	caspase-3
RPE	improper_regulation	RPE
MUC4	promotes_progression	SCLC
ANGPTL3	promotes_progression	glioblastoma
delta-aminolevulinic_acid	inhibits_cell_growth	fibrosarcoma
Rbx1	signals	SCF
curcumin	activates	miR-7
