entity1	theme	entity2
15-hete	treatment	psoriasis
12-o-tetradecaoylphorbol-13-acetate	treatment	pkc
1,8-cineole	treatment	nash
1,2-dihydroxyvitamin_d	treatment	vd
11-deoxycorticosterone	treatment	hypertension
2-phenoxyethyl_ester	treatment	lymphocytic_leukemia
2,6,10,14-tetramethylpentadecane	treatment	inflammation_and_lupus-like_disease
2,4-d	treatment	experimental_myotonia
1,25-dihydroxy-vitamin_d3	treatment	diabetic_nephropathy
5-amino_salicylic_acid	treatment	inflammatory_bowl_disease
17-beta_estradiol	treatment	fgr
2,3-butanedione_monoxime	treatment	myocardial_stunning
2-dogta	treatment	melanoma
18f-fdg	treatment	metaplastic_thymoma
2hg	treatment	gliomas
1,3,5-trioxetanetrione	treatment	unimolecular_dissociation
5-ala-pdt	treatment	skin_cancer
17beta-estradiol	treatment	coronary_artery_occlusion
3_beta-hydroxysteroid	treatment	choriocarcinoma
15-epi-lipoxin_a4	treatment	type
12-o-tetradecanoyl-phorbol-13-acetate	treatment	chronic_myeloid_leukemia
3-hydroxy-3-methylglutaryl_coenzyme_a	treatment	acute_coronary_syndrome
1a,25-hydroxycholecalciferol	treatment	acute_myeloid_leukemia
5-ala	treatment	adenocarcinoma
1-methyladenine	treatment	immunodeficiency
19-oh-a	treatment	hypertension
18f-naf	treatment	gastric_cancer
3,4-diaminopyridine	treatment	poisoning
3-methoxy-4-propargyloxycinnamoyl_anthranilate	treatment	diabetes
1,3-benzodioxoles	treatment	tumor
1,4-dichlorobenzene	treatment	renal_tumors
18f-fdg_pet	treatment	non-small_cell_lung_cancer
18f-fdg	treatment	fever
2-me	treatment	preeclampsia
5-aminolaevulinic_acid	treatment	basal_cell_carcinoma
2-bromoethylamine_hydrobromide	treatment	papillary_necrosis
5-amino-7-methyl-1:2:4:6-tetra-azaindene	treatment	toxicity
2-deoxyglucose	treatment	polycystic_kidney
13-cis-retinoic_acid	treatment	acne_vulgaris
2,7-dibromocarbazole	treatment	toxicity
17-alpha-hydroxyprogesterone	treatment	congenital_adrenal_hyperplasia
123i-metaiodobenzylguanidine	treatment	hypertension
1-methyl-1-nitrosourea	treatment	adenocarcinomas
2-acetylaminofluorene	treatment	liver_cancer
177lu-octreotate	treatment	neuroendocrine_tumour
15n_glycine	treatment	inflammatory_bowel_disease
14-c	treatment	folate_deficiency
2,4,6-triaminopyrimidine	treatment	necturus_gallbladder
3h-imipramine	treatment	schizophrenic
17b-estradiol	treatment	brain-dead
3-mca	treatment	tumor
2-thiouracil_sulfonamides	treatment	carcinoma
3-cyano-2-substituted_pyridines	treatment	breast_cancer
17-ohds	treatment	alpha-hydroxylase_deficiency
17_beta-estradiol	treatment	eae
1-oleoyl-2-acetylglycerol	treatment	melanoma
3-hk	treatment	pd
3-hydroxylacyl-coa	treatment	hypotonia
18-fluorodeoxyglucose	treatment	leukemia
2-chloroadenosine	treatment	injury_in_rabbit_lungs
18f-fdg	treatment	glucose_metabolism
5ala	treatment	photodynamic_diagnosis
5-aminolevulinic_acid	treatment	colon_cancer
4-methylcatechol	treatment	melanoma
2-arachidonoylglycerol	treatment	pancreatic_cancer
2,3-diamino-2,3-dideoxy-d-glucose_disaccharide_phosphomonoester	treatment	pseudomonas_vesicularis
5-asa	treatment	active_disease
2,3-butanedione_monoxime	treatment	myocardial_damage
12-o-tetradecanoylphorbol-13-acetate	treatment	edema
17beta-estradiol	treatment	cytotoxicity
2-arachidonoylglycerol	treatment	nausea
1,3-butanediol	treatment	cholestasis
4-hydroperoxycyclophosphamide	treatment	aml
17-dmag	treatment	nsclc
3h_thymidine	treatment	hypertensive
123i-mel037	treatment	melanoma_tumor
3-npa	treatment	mitochondrial_damage
4-aminopyridine	treatment	demyelinated_rat_sciatic_nerve
25-hydroxyvitamin_d	treatment	fibrosis
2-phenyl-4-quionolone	treatment	prostate_cancer
17-aag	treatment	leukemia
5,7_dibromo-8-benzoyl-oxyquinaldine	treatment	intestinal_amebiasis
123i-imp	treatment	occlusive_cerebrovascular_disease
131i	treatment	cord_paralysis
4-nitrobenzonitrile	treatment	methemoglobinemia
1-deamino-8-d-arginine_vasopressin	treatment	gestational_diabetes_insipidus
2-chloroadenosine	treatment	hypercapnia
2,4,6-trinitrobenzene_sulfonic_acid	treatment	ulcerative_colitis
25-hydroxyvitamin_d	treatment	pulmonary_tuberculosis
3-nitropropionic_acid	treatment	neurodegenerative_disorders
5-aminolevulinic_acid	treatment	cutaneous_squamous_cell_carcinoma
